date_added,source_name,url,category,frequency,notes
2026-07-25,NYC Rent Guidelines Board,https://rentguidelinesboard.cityofnewyork.us/,Legal/Regulatory,On order adoption,Adopted 0% freeze 2026-27
2026-07-25,HUD Newsroom,https://www.hud.gov/news,Federal,Daily,Monitor for work-requirement rule final publication
2026-07-25,NYC CCHR Press Releases,https://www.nyc.gov/site/cchr/media/2026-press-releases.page,Civil Rights,Weekly,Opposing federal Equal Access rollback
2026-07-25,NYCHA Press Releases,https://www.nyc.gov/site/nycha/about/press/press-releases.page,Agency,Weekly,FY2027 Annual Plan hearing July 29
2026-07-25,NYC Public Advocate Worst Landlord List,https://violationwatch.nyc/resources/nyc-worst-landlord-list-2026,Enforcement,Annual,TCAP priority acquisition target list
2026-07-25,Shelterforce,https://shelterforce.org,Policy Analysis,Weekly,HUD work-requirement coverage
2026-07-25,City Limits,https://citylimits.org,Local News,Daily,
2026-07-25,Amsterdam News,https://amsterdamnews.com,Local News,Weekly,RGB freeze coverage
2026-07-25,amNY,https://www.amny.com,Local News,Daily,Chelsea NYCHA Section 9-to-8 coverage
2026-07-25,NYC Mayor Press Releases,https://www.nyc.gov/mayors-office/news,Political,Daily,Block by Block housing plan
2026-07-25,NYC Comptroller,https://comptroller.nyc.gov,Fiscal,Weekly,Levine rent policy critique
2026-07-25,CBPP Housing Policy,https://www.cbpp.org/housing,Federal Policy,Weekly,
2026-07-25,RGB Adopted Summary of Guidelines 2026-27,https://rentguidelinesboard.cityofnewyork.us/adopted-summary-of-guidelines-2026-27/,Legal,One-time,Official 0% freeze order
2026-07-25,Mamdani Block by Block Plan,https://www.nbcnews.com/politics/politics-news/zohran-mamdani-wades-housing-debate-plan-define-time-office-rcna346454,Political/Fiscal,One-time,28B housing plan - dominant policy environment for PET/TCAP
