Title,Author/Org,Year,Jurisdiction,Topic,URL/DOI,Type,Access,Notes,Used_In,Verification_Date
OpenAI API Documentation,OpenAI,2024,Global,Technical Integration,https://platform.openai.com/docs/,Technical Docs,Public,API documentation for OpenAI integration; Essential for automated analysis workflows,docs/integration-plan.md#31-openai-api,2025-12-02
Notion API Reference,Notion,2024,Global,Technical Integration,https://developers.notion.com/reference/intro,Technical Docs,Public,Official API for Notion integration; Required for research note synchronization,docs/integration-plan.md#32-notion-integration,2025-12-02
GitHub Actions Documentation,GitHub,2024,Global,Technical Integration,https://docs.github.com/en/actions,Technical Docs,Public,CI/CD platform documentation; Used for automation workflows and quality gates,docs/integration-plan.md#33-github-automation,2025-12-02
Zotero Web API v3,Corporation for Digital Scholarship,2024,Global,Technical Integration,https://www.zotero.org/support/dev/web_api/v3/start,Technical Docs,Public,API for programmatic Zotero access; Enables citation sync and annotation export,docs/integration-plan.md#34-zotero-integration,2025-12-02
Node.js Documentation,OpenJS Foundation,2024,Global,Development Tools,https://nodejs.org/,Technical Docs,Public,JavaScript runtime for npm tools and OpenAI Node.js SDK; Core development prerequisite,docs/integration-plan.md#1-prerequisites,2025-12-02
Python 3.10 Documentation,Python Software Foundation,2024,Global,Development Tools,https://docs.python.org/3.10/,Technical Docs,Public,Python runtime minimum version 3.10; Primary scripting language for automation,docs/integration-plan.md#1-prerequisites,2025-12-02
Markdownlint,DavidAnson,2024,Global,Documentation Tools,https://github.com/DavidAnson/markdownlint,Tool,Public,Markdown linting for consistent documentation; Proposed for GitHub Actions,docs/integration-plan.md#33-github-automation,2025-12-02
GitHub Security Guides,GitHub,2024,Global,Security,https://docs.github.com/en/actions/security-guides,Technical Docs,Public,Security guidance for CI/CD and secrets management; Referenced for project security controls,docs/integration-plan.md#5-security-controls,2025-12-02
Apple Universal Linking Documentation,Apple Inc.,2024,Global,Technical Integration,https://developer.apple.com/documentation/xcode/allowing-apps-and-websites-to-link-to-your-content/,Technical Docs,Public,Specification for iOS/macOS universal links; Adapted for research mobile/web integration,docs/universal-linking-guide.md,2025-12-02
Barriers to Affordable Housing (HUD Report),U.S. Department of Housing and Urban Development,2021,Federal (US),Housing Policy,https://www.huduser.gov/portal/publications/Barriers-to-Production-and-Preservation-of-Affordable-Housing.html,Government Report,Public,Federal analysis of regulatory and market barriers; Primary source for housing policy context,[Placeholder - to be linked],2025-12-02
Zoning Rules! The Economics of Land Use Regulation,Fischel W. A.,2015,US General,Housing Policy,N/A,Academic Book,Library/Purchase,Foundational economic theory of zoning; Explains regulatory capture dynamics,[Placeholder - to be linked],2025-12-02
The Economic Implications of Housing Supply,Glaeser E. L. & Gyourko J.,2018,US General,Housing Policy,https://doi.org/10.3386/w24815,Working Paper,Public,Quantifies supply elasticity effects; Critical empirical basis for zoning reform proposals,[Placeholder - to be linked],2025-12-02
American Housing Survey 2019 National File,U.S. Census Bureau,2020,Federal (US),Data,https://www.census.gov/programs-surveys/ahs/data.html,Dataset,Public,Authoritative housing conditions and cost data; Used for baseline market analysis,[Placeholder - to be linked],2025-12-02
Minneapolis Zoning Code,City of Minneapolis,2020,Minneapolis (MN),Policy Example,https://library.municode.com/mn/minneapolis/codes/code_of_ordinances,Municipal Code,Public,ADU legalization example; Model for incremental reform strategies,[Placeholder - to be linked],2025-12-02
Integration Plan (Generative Output),Multiple contributors (AI-assisted),2024,Project,Project Management,docs/integration-plan.md,Documentation,Internal,Comprehensive environment setup and integration architecture; Covers secure connections for all platforms,Project root README,2025-12-02
Generative Output Task Breakdown,Multiple contributors (AI-assisted),2024,Project,Project Management,docs/generative-output-tasks.md,Documentation,Internal,Operational runbook for AI deliverables; Defines prompt library and evaluation workflows,docs/integration-plan.md#9,2025-12-02
Connection Checks Documentation,Multiple contributors (AI-assisted),2024,Project,Project Management,docs/connection-checks.md,Documentation,Internal,Validation procedures for platform connections; Includes reverse-flow testing,docs/integration-plan.md,2025-12-02
Universal Linking Guide,Multiple contributors (AI-assisted),2024,Project,Technical Integration,docs/universal-linking-guide.md,Documentation,Internal,Mobile/web integration guide; Adapted from Apple documentation for research context,docs/integration-plan.md,2025-12-02
Issue #2 Comment - CSV Integration Proposal,Project contributor,2024,Project,Project Management,comments/issue-2.txt,Project Artifact,Internal,Suggestion to integrate citations into CSV; Informed current resources structure design,Issue #2,2025-12-02
APA Citation Style Guide,Housing Policy Research Librarian,2025,Project,Documentation Standards,docs/STYLE-APA.md,Documentation,Internal,House APA 7th edition rules and examples; Establishes citation standards for all project documentation,docs/resources-index.md,2025-12-02
Housing Policy Resources Index,Housing Policy Research Librarian,2025,Project,Documentation Standards,docs/resources-index.md,Documentation,Internal,Comprehensive catalog of research sources with annotations; Primary reference for all project citations,Project documentation,2025-12-02
