SOURCE_PATH	SOURCE_SIZE	CATEGORY	REASON	BASENAME	ACTIVE_MATCHES
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Housing Policy Archive Files/Capstone/Research drafts/ROI_Projection_Data_2025-2030 2.xlsx	8.0K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	ROI_Projection_Data_2025-2030 2.xlsx	NO_ACTIVE_MATCH
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/FY 24 DOE Budget Memo FINAL.docx	28K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	FY 24 DOE Budget Memo FINAL.docx	NO_ACTIVE_MATCH
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md	8.0K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	03-financial-modeling-roi-analysis.md	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/NYCHAs_Budget_Cant_be_Balanced.pdf	16K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	NYCHAs_Budget_Cant_be_Balanced.pdf	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/Capstone/data:sources/NYCHAs_Budget_Cant_be_Balanced.pdf;/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/Capstone/NYCHAs_Budget_Cant_be_Balanced.pdf
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/Research drafts/ROI_Comparison_Tenant_Ownership_Model_vs_Status_Quo.png	132K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	ROI_Comparison_Tenant_Ownership_Model_vs_Status_Quo.png	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/Capstone/Research drafts/ROI_Comparison_Tenant_Ownership_Model_vs_Status_Quo.png
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/Visuals/10-Year Cost vs. Family Wealth Generation by Housing Model.png	108K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	10-Year Cost vs. Family Wealth Generation by Housing Model.png	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/Capstone/ Visuals /10-Year Cost vs. Family Wealth Generation by Housing Model.png
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/project-control/templates/fiscal-assumptions-model-template.md	4.0K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	fiscal-assumptions-model-template.md	NO_ACTIVE_MATCH
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/exported-assets (1)/PART_III_Fiscal_Analysis_Academic.md	28K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	PART_III_Fiscal_Analysis_Academic.md	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/exported-assets (1)/PART_III_Fiscal_Analysis_Academic.md
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md	8.0K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	03-financial-modeling-roi-analysis.md	/Users/sethadmin/Seth_Ops/02_PROJECTS/HousingPolicyResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/docs/fiscal/fiscal-assumptions-model.md	8.0K	FISCAL_MODELING	Possible fiscal model, ROI analysis, or budget support	fiscal-assumptions-model.md	NO_ACTIVE_MATCH
