DECISION	SOURCE_PATH	BASENAME	PROPOSED_DESTINATION	NOTE
RECOVER_REVIEW	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Housing Policy Archive Files/Capstone/Research drafts/ROI_Projection_Data_2025-2030 2.xlsx	ROI_Projection_Data_2025-2030 2.xlsx	00_admin/recovery_queue/manual_review/fiscal/ROI_Projection_Data_2025-2030_ARCHIVE_REVIEW.xlsx	Archive-only fiscal workbook; review before active integration.
HOLD_REVIEW_NOT_POLICY_ROOT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/FY 24 DOE Budget Memo FINAL.docx	FY 24 DOE Budget Memo FINAL.docx	00_admin/recovery_queue/manual_review/non_policy/FY_24_DOE_Budget_Memo_FINAL_ARCHIVE_REVIEW.docx	Possibly unrelated DOE budget memo; do not place into active policy repo yet.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md	03-financial-modeling-roi-analysis.md		Active match already exists; do not duplicate unless hash comparison shows material difference.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/NYCHAs_Budget_Cant_be_Balanced.pdf	NYCHAs_Budget_Cant_be_Balanced.pdf		Active match already exists; do not duplicate unless hash comparison shows material difference.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/Research drafts/ROI_Comparison_Tenant_Ownership_Model_vs_Status_Quo.png	ROI_Comparison_Tenant_Ownership_Model_vs_Status_Quo.png		Active match already exists; do not duplicate unless hash comparison shows material difference.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/MOPTResearch/Capstone/Visuals/10-Year Cost vs. Family Wealth Generation by Housing Model.png	10-Year Cost vs. Family Wealth Generation by Housing Model.png		Active match already exists; do not duplicate unless hash comparison shows material difference.
RECOVER	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/project-control/templates/fiscal-assumptions-model-template.md	fiscal-assumptions-model-template.md	project-control/templates/fiscal-assumptions-model-template.md	Template missing from active root.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/exported-assets (1)/PART_III_Fiscal_Analysis_Academic.md	PART_III_Fiscal_Analysis_Academic.md		Active match already exists; do not duplicate unless hash comparison shows material difference.
NO_COPY_ALREADY_PRESENT	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/docs/sections/housing-policy-framework/03-financial-modeling-roi-analysis.md	03-financial-modeling-roi-analysis.md		Active match already exists; do not duplicate unless hash comparison shows material difference.
RECOVER	/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Documents/Seth_Ops/03_POLICY_WORK/Housing_Subsidy_Research/Active_Repo_Candidates/MOPTResearch/docs/fiscal/fiscal-assumptions-model.md	fiscal-assumptions-model.md	docs/fiscal/fiscal-assumptions-model.md	Fiscal assumptions file missing from active root.
