Date,Source_Publication,Source_URL,Headline,Summary,Category,Framework_Impact,Action_Required,Owner_Persona,Status,Version_Affected,Internal_Notes,Redline_Section,Redline_Paragraph,Proposed_Redline_Text,Importance_Level
2026-07-25,HUD.gov / Shelterforce / CBPP,https://shelterforce.org/2026/07/07/huds-work-requirement-and-time-limit-proposals-put-rental-assistance-at-risk/,HUD Work Requirement & Time Limit Proposed Rule Threatens 3.7M Households,"HUD proposed rule lets PHAs and Section 8/public housing owners impose up to 40hr/week work requirements and time limits as short as 2 years; comment period closed May 1 2026; final rule pending; litigation expected.",Federal/Legal,Critical,Attorney Review; Model PET/TCAP as HUD-independent revenue stream,Attorney,New,v1.0,"If NYCHA or voucher holders lose federal assistance, PET equity accrual must not be contingent on continued federal subsidy receipt",PETF Sec. 5 (Eligibility Continuity),Para 2,"ADD: 'Eligibility for equity accrual shall not be terminated solely due to loss of federal rental assistance resulting from HUD work-requirement or time-limit rules; the City shall provide a bridge subsidy drawn from reallocated HPD/HRA funds for up to 12 months.'",Critical
2026-07-25,Amsterdam News / RGB,https://amsterdamnews.com/news/2026/07/02/rent-guidelines-board-grants-rent-freeze-but-landlords-warn-of-housing-distress/,RGB Approves First-Ever 0% Freeze on 1- and 2-Year Leases,"NYC RGB voted 7-1 for historic 0% increase on both 1- and 2-year rent-stabilized leases effective Oct 1 2026–Sept 30 2027; landlords warn of distress and litigation.",Legal/Political,Critical,Attorney Review; decouple PET equity calculation from RGB baseline,Attorney,New,v1.0,Frozen legal rents change baseline calculations for any PET equity-conversion formula tied to rent rolls,PETF Sec. 3 (Equity Calculation Methodology),Para 1,"ADD: 'Equity contribution values shall be calculated independent of annual RGB determinations using a fixed baseline adjusted only by AMI index to insulate the Program from RGB volatility and potential legal challenge to the freeze order.'",Critical
2026-07-25,NBC News,https://www.nbcnews.com/politics/politics-news/zohran-mamdani-wades-housing-debate-plan-define-time-office-rcna346454,Mamdani Unveils $28B Block by Block Housing Plan,"Mayor Mamdani's plan targets 200000 new affordable units + 200000 preserved over 10 years; $22B new investment; $5.6B for NYCHA; $40/hr construction minimum wage; relaxed prefab regulations.",Political/Fiscal,Critical,"CFO and Attorney Review; align PET fiscal ask with $70B Ten-Year Capital Plan bonding structure",CFO,New,v1.0,"PET must be framed as self-amortizing complement to Block by Block, not a competing budget ask",PETF Sec. 1 (Fiscal Framing/Findings),Para 1,"ADD: 'This Framework is designed to operate as a self-amortizing complement to the City Ten-Year Capital Plan and Block by Block housing initiative, generating recoverable public equity rather than requiring new net capital appropriation.'",Critical
2026-07-25,NYC.gov Rent Guidelines Board,https://rentguidelinesboard.cityofnewyork.us/adopted-summary-of-guidelines-2026-27/,Adopted Summary of Guidelines 2026-27,"Official adopted RGB order confirming 0% guideline for one- and two-year leases and 49% vacancy allowance for decontrolled/MBR units effective Sept 30 2026.",Legal,High,Attorney Review; verify PET does not rely on vacancy allowance mechanics,Attorney,New,v1.0,49% vacancy bonus could incentivize landlord turnover churn that TCAP acquisition model should account for as acquisition-timing risk,"TCAP Bill C, Acquisition Trigger Section",Para 3 (Vacancy Trigger Definition),"ADD: 'Acquisition-trigger eligibility shall include buildings where owners exercise the Special Guideline vacancy allowance more than twice within a 24-month period as a proxy indicator of displacement risk warranting TCAP outreach.'",High
2026-07-25,NYC CCHR,https://www.nyc.gov/site/cchr/media/2026-press-releases.page,NYC CCHR Opposes Federal Rollback of Equal Access Housing Protections,"CCHR formally opposed Trump Administration proposal to roll back Equal Access housing nondiscrimination protections (disability/gender identity) on July 14 2026 citing conflict with NYC Human Rights Law.",Civil Rights/Legal,High,Attorney Review; ensure PET nondiscrimination clauses exceed any weakened federal floor,Attorney,New,v1.0,Federal rollback creates gap-filling need; PET eligibility must explicitly codify NYC Human Rights Law protections,PETF Sec. 2 (Nondiscrimination & Eligibility),Para 1,"ADD: 'Nondiscrimination protections under this Program are established independently under NYC Human Rights Law (Title 8 NYC Admin Code) and shall remain in full effect regardless of any narrowing of federal Equal Access or HUD nondiscrimination regulations.'",High
2026-07-25,amNY,https://www.amny.com/news/nycha-project-federal-greenlight-litigation/,Chelsea NYCHA Section 9-to-8 Conversion Gets Federal Greenlight Amid Litigation,"HUD reaffirmed approval for NYCHA Fulton/Elliott-Chelsea conversion from public housing to Section 8 via PACT/RAD enabling demolition/rebuild of 2056 units plus 3500 mixed-income units; tenant rights litigation ongoing.",Legal/Fiscal,High,Program Manager Review; TCAP should assert right-of-first-refusal at Section 9-to-8 conversion sites,Program Manager,New,v1.0,Section 9-to-8 conversions shift long-term public asset control to private partners; TCAP must assert right-of-first-refusal at conversion sites,"TCAP Bill B, Sec. 4 (Right of First Refusal)",Para 1,"ADD: 'The Right of First Refusal established herein shall extend to NYCHA properties undergoing Section 9-to-Section 8 conversion (RAD/PACT or successor programs) granting qualifying tenant associations the option to pursue cooperative acquisition in lieu of private third-party ownership transfer.'",High
2026-07-25,NY Post,https://nypost.com/2026/07/19/us-news/comptroller-levine-blasts-ny-rent-policies-for-housing-crisis/,Comptroller Levine Blasts NY Rent Policies for Housing Crisis,"NYC Comptroller Mark Levine criticized state and city rent regulations as worsening the housing supply crisis arguing regulatory approach alone will not solve affordability.",Political/Fiscal,High,"Program Manager Review; prepare rebuttal framing PET as supply-neutral equity tool, not rent control",Program Manager,New,v2.0_planning,"Levine's critique could be weaponized against PET; reframe PET messaging as ROI-positive, not rent suppression",PETF Preamble; Findings Section,Para 2 (Purpose Statement),"ADD: 'This Framework operates independently of rent regulation policy and is designed to generate fiscal ROI through equity accrual rather than rent suppression, addressing critiques that regulatory-only approaches fail to expand supply.'",High
2026-07-25,NYC.gov NYCHA,https://www.nyc.gov/site/nycha/about/annual-plan-financial-information.page,"NYCHA FY2027 Draft Annual Plan Public Hearing July 29 2026","NYCHA holds hybrid public hearing July 29 2026 on FY2027 Draft Annual Plan; written comments accepted through August 1 2026 — direct advocacy window for PET/TCAP alignment with NYCHA capital planning.",Fiscal/Political,Medium,Program Manager Action: Draft and submit public comment before Aug 1 deadline,Program Manager,New,v1.0,Time-sensitive advocacy opportunity to align PET funding reuse strategy with NYCHA FY27 plan before finalization,N/A - Advocacy Action Item,N/A,"DRAFT PUBLIC COMMENT: Request NYCHA FY2027 Annual Plan explicitly reference compatibility with Tenant Coop Acquisition Program (TCAP) for Preservation Trust and RAD/PACT conversion sites.",Medium
2026-07-25,Public Advocate,https://violationwatch.nyc/resources/nyc-worst-landlord-list-2026,2026 NYC Worst Landlord Watchlist Released,"Public Advocate's watchlist names A&E Real Estate's Margaret Brunn and Donald Hastings as top offenders with ~9000 combined violations spotlighting chronic disinvestment landlords as prime TCAP acquisition targets.",Civil Rights/Fiscal,Medium,Program Manager Review: cross-reference Watchlist addresses against TCAP target-building list,Program Manager,New,v1.0,"Watchlist provides ready-made politically legitimate target list for TCAP distressed-building acquisition pipeline","TCAP Bill A, Sec. 2 (Priority Acquisition Criteria)",Para 2,"ADD: 'Priority acquisition status shall be automatically conferred upon buildings whose owners appear on the NYC Public Advocate's Annual Worst Landlord Watchlist subject to tenant association consent.'",Medium
2026-07-25,Mayor's Office,https://www.nyc.gov/site/nycha/about/press/pr-2026/pr-20260707.page,Mamdani Administration Closes Financing on Sol on Park (229 Affordable Senior Homes),"City closed financing on Sol on Park converting NYCHA Morris Houses campus land into 229 affordable senior units — live model of public land leverage relevant to PET Public Land for Public Good provisions.",Fiscal,Low,Monitor: use as precedent citation in PET public-land sections,CFO,Reviewed,v1.0,Useful precedent/ROI comparison case for PET fiscal modeling of public-land-leverage deals,PETF Sec. 6 (Public Land for Public Good),Para 3 (Precedent Citations),"ADD (citation only): 'See Sol on Park financial closing (NYCHA Morris Houses campus July 2026) as precedent model for senior-focused public-land equity development.'",Low
